indice	titulo	url
0	O Ecossistema da Perícia Médica no Brasil: Marco Normativo, Avaliação Biopsicossocial, Jurisprudência Consolidada e Protocolos Forenses	
1	CONSELHO FEDERAL DE MEDICINA SGAS Quadra 616 Conjunto D, lote 115, L2 Sul | Fone: (61) 3445-5900 Bairro: Asa Sul, Brasília/DF -	https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2025/2430_2025.pdf
2	Anexo IV - Metas Fiscais IV.6 – Impacto Fiscal das Recomendações Resultantes da Avaliação de Políticas Públicas Projeto de Lei de Diretrizes Orçamentárias para 2027 - Portal Gov.br	http://www.gov.br/planejamento/pt-br/assuntos/orcamento/orcamentos-anuais/2027/pldo/anexo_iv-06-_impacto_fiscal_das_recomendacoes_resultantes_da_avaliacao_de_politicas_publicas.pdf/@@display-file/file
3	Em decisão unânime, TCU reconhece a legalidade do Atesta CFM | Portal Médico	https://portal.cfm.org.br/noticias/em-decisao-unanime-tcu-reconhece-a-legalidade-do-atesta-cfm/
4	análise da aplicação do índice de funcionalidade brasileiro modificado em requerentes do benefício de	https://www.gov.br/mdh/pt-br/navegue-por-temas/pessoa-com-deficiencia/acoes-e-programas/avaliacao-biopsicossocial/grupo-de-trabalho-sobre-a-avaliacao-biopsicossocial-de-2020/Doc.09AnlisedaAplicaodondicedeFuncionalidadeBrasileiroModificadoemRequerentesdoBenefciodePrestaoContinuadaPessoaComDeficinciaUnimar.pdf
5	CADERNO TEMÁTICO DO PROGRAMA SAÚDE NA ESCOLA - O QUE É DEFICIÊNCIA - Portal Gov.br	https://www.gov.br/saude/pt-br/acesso-a-informacao/participacao-social/consultas-publicas/2026/revisao-e-atualizacao-do-caderno-tematico-do-programa-saude-na-escola-pse-o-que-e-deficiencia/caderno-da-consulta-publica
6	06/07/2026 - Jurisprudência do STJ	https://scon.stj.jus.br/SCON/jurisprudencia/toc.jsp?O=JT&b=ACOR&livre=202103189031.REG.%20E%2006/07/2026.FONT.
7	RE 1469150 (Tema 1.300) - STF	https://www.stf.jus.br/arquivo/cms/noticiaNoticiaStf/anexo/Info_RE1469150FINAL.pdf
8	Resolução fixa honorários de peritos em casos de gratuidade da Justiça - Portal CNJ	https://www.cnj.jus.br/resolucao-fixa-honorarios-de-peritos-em-casos-de-gratuidade-da-justica/
9	RESOLUÇÃO CFM Nº 2.297/2021	https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2021/2297_2021.pdf
