Wv7lEyck2mg	The Sermon on the Mount | Lecture One (Official) | Peterson Academy
IsXdO5RD_NU	Understanding the True Spirit of Christmas
epoRGnCWyXw	Personality Psychology | Lecture One (Official) | Peterson Academy
Nn1Np7mrFck	Maps of Meaning | Lecture One (Official) | Peterson Academy
YZB8CS-5EvA	Why The Monster In Your Dreams Is Chasing You | Dr. Baland Jalal
obQmX3oUv6w	The Depths of Dante's Inferno | John Vervaeke and Jordan Hall
1nyVHWu7N2Y	Some Dreams Are Really Nightmares | Dr. Arthur Brooks
d88svxU5DBg	“Trump Is Not God, Musk Is Not God” | Russell Brand
bFAbNRDA23s	How Your Brain Decides Between Conflicting Actions | Dr. David Eagleman
8jb-UxGAJ8M	The Birth of Christ | Biblical Series: The Gospels
NKjKzl0JCJw	How Do You Know The Bible Is True?
mQ5Izid9NSU	The Mob Mentality That Led to Crucifixion | The Gospels
9x3cHzRvNQo	The Psychology of Pure Evil | Michael Malice
DVk0-yJ2uoI	When You Should Listen To Hypocrites  | The Gospels
6fLubzobI0c	How Do You Know When You Find Truth? | The Gospels
9MsgImiQIc4	The Arrogance of Atheism | Dr. Brian Keating
3gaDho0sl4w	Reordering Desire: The True Purpose of Prayer | The Gospels
aRTpoIDFXuc	Acknowledge Your Past to Retake Your Future | Greg Laurie
2pUOCZSjzv4	Season 5 Will Blow You Away: "The Chosen" | Dallas Jenkins
dt-BeOTiNvk	We Who Wrestle With God: In the Image of God
SM7M30DaL0M	One of Jesus’ Most Perplexing Parables Explained | The Gospels
PpjrUzfkfSo	Why "The Chosen" Resonates | Dallas Jenkins
IXP3YwVMvp0	This Is the Correct Interpretation | The Gospels
xYBuXA4XkV8	The Devil’s Offer | The Gospels
pyxVCWfKdMg	Humans Effectively Have X-Ray Vision | Mark Changizi
8fLwtgNM-ac	The Afterlife Is Real | Greg Laurie
n4GBm2ItH58	My New Book: "We Who Wrestle with God"
p5ngZZRT3bY	Jesus Freaks and the Hippie Preacher | Greg Laurie
KmVbZ062Dxo	This “Safe” Drug Supercharges Your Dopamine and Decimates Your Happiness | Dan Williams
KI2bdjIR1XE	Science Alone Did Not Get Us to the Moon | Jonathan Pageau
I5_oyUDilKE	The Gospels | Official Trailer
gFp2AZBx8hE	Does Facing the Serpent Lead to Redemption? | Richard Dawkins
s1cXGYAGeso	An Unexpected Discussion on the Virgin Birth | Richard Dawkins
w3NOoj373hA	The Worst Form of Immaturity | Dr. Keith Campbell
x3TDCFNmd-Q	What Monet's Haystack Paintings Demonstrate About Reality | Spencer Klavan
d6ibq9zqFts	How Physics Affects Your Emotional State | Brian Greene
k7JTxHwrj84	Psychopathy by Design | Jamie Wheal
